,,,Round 1,Round 1,,Totals,Totals,Totals,Totals,Totals,Shooting,Shooting,Shooting,Per Game,Per Game,Per Game,Per Game,Advanced,Advanced,Advanced,Advanced
26,26,IND,Miles Plumlee\plumlmi01,Duke,7,346,5658,1697,1562,178,.542,,.543,16.4,4.9,4.5,0.5,10.6,.090,-1.9,0.2
27,27,MIA,Arnett Moultrie\moultar01,Mississippi State,2,59,729,210,180,12,.547,,.667,12.4,3.6,3.1,0.2,1.7,.113,-2.8,-0.1
28,28,OKC,Perry Jones\jonespe01,Baylor,3,143,1675,488,252,54,.420,.293,.660,11.7,3.4,1.8,0.4,1.7,.048,-3.5,-0.6
29,29,CHI,Marquis Teague\teaguma01,Kentucky,3,91,909,217,90,134,.343,.222,.661,10.0,2.4,1.0,1.5,-0.9,-.045,-6.5,-1.0
30,30,GSW,Festus Ezeli\ezelife01,Vanderbilt,3,170,2394,712,725,63,.513,,.557,14.1,4.2,4.3,0.4,5.9,.119,-2.0,0.0
31,31,CHA,Jeffery Taylor\tayloje03,Vanderbilt,3,132,2566,807,263,107,.409,.319,.665,19.4,6.1,2.0,0.8,1.3,.024,-4.2,-1.5
32,32,WAS,Tomáš Satoranský\satorto01,,4,275,6404,2031,849,1131,.469,.369,.817,23.3,7.4,3.1,4.1,13.8,.103,-0.6,2.3
33,33,CLE,Bernard James\jamesbe01,Florida State,3,92,761,203,212,13,.497,.000,.680,8.3,2.2,2.3,0.1,1.9,.117,-1.8,0.0
34,34,CLE,Jae Crowder\crowdja01,Marquette,8,608,15028,5821,2505,931,.421,.340,.778,24.7,9.6,4.1,1.5,32.5,.104,0.1,8.1
35,35,GSW,Draymond Green\greendr01,Michigan State,8,576,16201,5170,3966,2855,.435,.319,.710,28.1,9.0,6.9,5.0,44.4,.132,2.8,19.5
36,36,SAC,Orlando Johnson\johnsor01,UC Santa Barbara,3,103,1112,329,180,69,.358,.311,.727,10.8,3.2,1.7,0.7,1.4,.059,-2.4,-0.1
37,37,TOR,Quincy Acy\acyqu01,Baylor,7,337,5392,1642,1179,217,.444,.350,.759,16.0,4.9,3.5,0.6,8.7,.078,-2.0,-0.1
38,38,DEN,Quincy Miller\millequ01,Baylor,3,69,934,295,169,37,.350,.292,.706,13.5,4.3,2.4,0.5,-0.1,-.003,-3.9,-0.5
39,39,DET,Khris Middleton\middlkh01,Texas A&M,8,517,16282,8426,2404,1733,.458,.392,.876,31.5,16.3,4.6,3.4,38.9,.115,0.5,10.4
40,40,POR,Will Barton\bartowi01,Memphis,8,496,12110,5492,2089,1248,.434,.347,.786,24.4,11.1,4.2,2.5,20.6,.082,0.0,6.2
41,41,POR,Tyshawn Taylor\tayloty01,Kansas,2,61,491,174,33,57,.354,.360,.684,8.0,2.9,0.5,0.9,-0.9,-.088,-8.1,-0.8
42,42,MIL,Doron Lamb\lambdo01,Kentucky,2,100,1272,345,95,75,.381,.394,.700,12.7,3.5,1.0,0.8,0.1,.005,-5.8,-1.2
43,43,ATL,Mike Scott\scottmi01,Virginia,8,504,8330,3523,1607,459,.459,.364,.759,16.5,7.0,3.2,0.9,15.8,.091,-1.6,0.8
44,44,DET,Kim English\engliki01,Missouri,1,41,407,119,37,26,.375,.280,.724,9.9,2.9,0.9,0.6,0.2,.021,-4.2,-0.2
45,45,PHI,Justin Hamilton\hamilju01,LSU,3,113,1961,687,403,91,.464,.309,.798,17.4,6.1,3.6,0.8,3.7,.091,-0.9,0.5
46,46,NOH,Darius Miller\milleda01,Kentucky,5,253,5161,1524,423,346,.418,.382,.830,20.4,6.0,1.7,1.4,5.9,.055,-2.5,-0.7
47,47,UTA,Kevin Murphy\murphke01,Tennessee Technological University,1,17,52,15,4,2,.250,.200,,3.1,0.9,0.2,0.1,-0.3,-.272,-16.8,-0.2
48,48,NYK,Kostas Papanikolaou\papanko01,,2,69,1089,249,158,101,.354,.297,.688,15.8,3.6,2.3,1.5,0.3,.015,-2.7,-0.2
49,49,ORL,Kyle O'Quinn\oquinky01,Norfolk State,8,472,6714,2568,2166,643,.517,.218,.740,14.2,5.4,4.6,1.4,17.8,.128,0.9,5.0
50,50,DEN,İzzet Türkyılmaz\turkyiz01,,,,,,,,,,,,,,,,,,
51,51,BOS,Kris Joseph\josepkr01,Syracuse,1,10,54,9,7,1,.143,.000,.625,5.4,0.9,0.7,0.1,-0.1,-.127,-9.9,-0.1
52,52,GSW,Ognjen Kuzmić\kuzmiog01,,2,37,164,35,38,8,.520,,.600,4.4,0.9,1.0,0.2,0.2,.061,-5.6,-0.2
53,53,LAC,Furkan Aldemir\aldemfu01,,1,41,540,93,176,28,.513,.000,.481,13.2,2.3,4.3,0.7,1.4,.122,-3.6,-0.2
54,54,PHI,Tornike Shengelia\shengto01,,2,45,247,59,39,17,.451,.125,.500,5.5,1.3,0.9,0.4,-0.2,-.032,-7.0,-0.3
55,55,DAL,Darius Johnson-Odom\johnsda03,Marquette,2,7,21,0,6,2,.000,.000,.000,3.0,0.0,0.9,0.3,-0.3,-.597,-25.5,-0.1
56,56,TOR,Tomislav Zubčić\zubcito01,,,,,,,,,,,,,,,,,,
57,57,NJN,İlkan Karaman\karamil01,,,,,,,,,,,,,,,,,,
58,58,MIN,Robbie Hummel\hummero01,Purdue,2,98,1397,379,266,50,.418,.343,.867,14.3,3.9,2.7,0.5,1.9,.066,-3.1,-0.4
59,59,SAS,Marcus Denmon\denmoma01,Missouri,,,,,,,,,,,,,,,,,
60,60,LAL,Robert Sacre\sacrero01,Gonzaga,4,189,2745,787,593,126,.436,.000,.671,14.5,4.2,3.1,0.7,2.4,.042,-4.0,-1.4
