,,,Round 1,Round 1,,Totals,Totals,Totals,Totals,Totals,Shooting,Shooting,Shooting,Per Game,Per Game,Per Game,Per Game,Advanced,Advanced,Advanced,Advanced
46,46,UTA,Erick Green\greener01,Virginia Tech,2,52,452,159,37,42,.377,.288,.857,8.7,3.1,0.7,0.8,0.1,.011,-4.0,-0.2
47,47,ATL,Raul Neto\netora01,,5,253,3485,1230,322,471,.446,.379,.789,13.8,4.9,1.3,1.9,5.7,.079,-1.5,0.5
48,48,LAL,Ryan Kelly\kellyry01,Duke,4,163,3125,981,504,215,.378,.316,.797,19.2,6.0,3.1,1.3,3.0,.046,-2.6,-0.5
49,49,CHI,Erik Murphy\murpher01,Florida,1,24,62,6,8,2,.231,.000,,2.6,0.3,0.3,0.1,-0.1,-.055,-8.6,-0.1
50,50,ATL,James Ennis\ennisja01,Cal State Long Beach,6,347,6980,2255,1128,308,.455,.350,.795,20.1,6.5,3.3,0.9,14.1,.097,-1.4,1.0
51,51,ORL,Romero Osby\osbyro01,Oklahoma,,,,,,,,,,,,,,,,,
52,52,MIN,Lorenzo Brown\brownlo01,NC State,5,103,1185,293,151,183,.364,.170,.707,11.5,2.8,1.5,1.8,-0.2,-.007,-3.5,-0.5
53,53,IND,Colton Iverson\iversco01,Colorado State,,,,,,,,,,,,,,,,,
54,54,WAS,Arsalan Kazemi\kazemar01,Oregon,,,,,,,,,,,,,,,,,
55,55,MEM,Joffrey Lauvergne\lauvejo01,,4,208,2823,1159,789,180,.479,.285,.719,13.6,5.6,3.8,0.9,5.2,.089,-2.1,-0.1
56,56,DET,Peyton Siva\sivape01,Louisville,1,24,224,54,14,34,.316,.280,.733,9.3,2.3,0.6,1.4,-0.2,-.032,-6.4,-0.2
57,57,PHO,Alex Oriakhi\oriakal01,Missouri,,,,,,,,,,,,,,,,,
58,58,SAS,Deshaun Thomas\thomade01,Ohio State,,,,,,,,,,,,,,,,,
59,59,MIN,Bojan Dubljević\dubljbo01,,,,,,,,,,,,,,,,,,
60,60,MEM,Jānis Timma\timmaja01,,,,,,,,,,,,,,,,,,
