,,,Round 1,Round 1,,Totals,Totals,Totals,Totals,Totals,Shooting,Shooting,Shooting,Per Game,Per Game,Per Game,Per Game,Advanced,Advanced,Advanced,Advanced
42,42,DET,Bruce Brown\brownbr01,Miami (FL),2,132,3083,836,459,321,.424,.302,.743,23.4,6.3,3.5,2.4,3.6,.056,-2.2,-0.2
43,43,DEN,Justin Jackson\jacksju02,Maryland,,,,,,,,,,,,,,,,,
44,44,WAS,Issuf Sanon\sanonis01,,,,,,,,,,,,,,,,,,
45,45,BRK,Hamidou Diallo\diallha01,Kentucky,2,97,1422,508,264,53,.449,.247,.607,14.7,5.2,2.7,0.5,1.2,.039,-4.0,-0.7
46,46,HOU,De'Anthony Melton\meltode01,USC,2,110,2151,705,354,334,.397,.294,.765,19.6,6.4,3.2,3.0,1.8,.040,-1.3,0.3
47,47,LAL,Sviatoslav Mykhailiuk\mykhasv01,Kansas,2,98,1705,637,140,143,.389,.385,.767,17.4,6.5,1.4,1.5,1.5,.042,-2.7,-0.3
48,48,MIN,Keita Bates-Diop\bateske01,Ohio State,2,74,1247,439,210,47,.426,.303,.699,16.9,5.9,2.8,0.6,1.5,.059,-2.2,-0.1
49,49,SAS,Chimezie Metu\metuch01,USC,2,47,250,109,69,23,.430,.000,.767,5.3,2.3,1.5,0.5,0.0,-.003,-4.3,-0.1
50,50,IND,Alize Johnson\johnsal02,Missouri State,2,31,182,47,67,8,.356,.400,.611,5.9,1.5,2.2,0.3,0.3,.081,-3.7,-0.1
51,51,NOP,Tony Carr\carrto01,Penn State,,,,,,,,,,,,,,,,,
52,52,UTA,Vince Edwards\edwarvi01,Purdue,1,2,16,3,2,0,.250,.250,,8.0,1.5,1.0,0.0,0.0,-.014,-6.4,0.0
53,53,OKC,Devon Hall\hallde01,Virginia,1,11,81,20,7,13,.200,.235,.500,7.4,1.8,0.6,1.2,-0.2,-.116,-6.4,-0.1
54,54,DAL,Shake Milton\miltosh01,SMU,2,60,1073,464,123,122,.462,.402,.778,17.9,7.7,2.1,2.0,2.4,.109,-1.5,0.1
55,55,CHO,Arnoldas Kulboka\kulboar01,,,,,,,,,,,,,,,,,,
56,56,PHI,Ray Spalding\spaldra01,Louisville,1,14,148,54,48,5,.532,.000,.333,10.6,3.9,3.4,0.4,0.2,.051,-5.1,-0.1
57,57,OKC,Kevin Hervey\herveke01,UT Arlington,1,10,52,17,12,5,.259,.150,,5.2,1.7,1.2,0.5,-0.1,-.085,-5.1,0.0
58,58,DEN,Thomas Welsh\welshth01,UCLA,1,11,36,18,4,5,.538,.429,.500,3.3,1.6,0.4,0.5,0.1,.162,1.2,0.0
59,59,PHO,George King\kingge03,Colorado,1,1,6,0,1,0,,,,6.0,0.0,1.0,0.0,0.0,-.001,-7.9,0.0
60,60,PHI,Kostas Antetokounmpo\antetko01,Dayton,2,7,31,9,4,2,.500,,.500,4.4,1.3,0.6,0.3,0.0,.037,-5.0,0.0
