,,,Round 1,Round 1,,Totals,Totals,Totals,Totals,Totals,Shooting,Shooting,Shooting,Per Game,Per Game,Per Game,Per Game,Advanced,Advanced,Advanced,Advanced
46,46,DAL,A.J. Hammons\hammoaj01,Purdue,1,22,163,48,36,4,.405,.500,.450,7.4,2.2,1.6,0.2,0.0,-.001,-6.6,-0.2
47,47,ORL,Jake Layman\laymaja01,Maryland,4,164,2241,863,314,90,.456,.309,.724,13.7,5.3,1.9,0.5,3.0,.065,-2.1,-0.1
48,48,CHI,Paul Zipser\zipsepa01,,2,98,1667,458,256,82,.371,.335,.769,17.0,4.7,2.6,0.8,0.0,-.001,-5.2,-1.4
49,49,DET,Michael Gbinije\gbinimi01,Syracuse,1,9,32,4,3,2,.100,.000,1.000,3.6,0.4,0.3,0.2,-0.1,-.136,-12.1,-0.1
50,50,IND,Georges Niang\niangge01,Iowa State,4,157,1564,657,240,87,.436,.387,.827,10.0,4.2,1.5,0.6,2.8,.085,-0.8,0.5
51,51,BOS,Ben Bentil\bentibe01,Providence,1,3,10,0,2,0,.000,.000,,3.3,0.0,0.7,0.0,-0.1,-.473,-25.9,-0.1
52,52,UTA,Joel Bolomboy\bolomjo01,Weber State,2,18,91,31,27,2,.545,.200,.500,5.1,1.7,1.5,0.1,0.3,.132,-0.1,0.0
53,53,DEN,Petr Cornelie\cornepe01,,,,,,,,,,,,,,,,,,
54,54,ATL,Kay Felder\feldeka01,Oakland,2,58,526,223,59,78,.364,.268,.754,9.1,3.8,1.0,1.3,-0.4,-.041,-4.7,-0.4
55,55,BRK,Marcus Paige\paigema01,UNC,1,5,28,12,4,3,.286,.250,1.000,5.6,2.4,0.8,0.6,0.0,-.006,-8.8,0.0
56,56,DEN,Daniel Hamilton\hamilda02,UConn,2,25,232,69,52,30,.394,.357,.500,9.3,2.8,2.1,1.2,0.0,.000,-3.3,-0.1
57,57,MEM,Wang Zhelin\sheliwa01,,,,,,,,,,,,,,,,,,
58,58,BOS,Abdel Nader\naderab01,Iowa State,3,164,2083,732,287,84,.421,.352,.716,12.7,4.5,1.8,0.5,2.1,.048,-2.8,-0.4
59,59,SAC,Isaiah Cousins\cousiis01,Oklahoma,,,,,,,,,,,,,,,,,
60,60,UTA,Tyrone Wallace\wallaty01,California,3,106,1639,549,228,126,.425,.203,.671,15.5,5.2,2.2,1.2,0.2,.006,-5.1,-1.3
